ref_area,indicator,source,sex,classif1,time,obs_value
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_Y15-24,2018,0.07
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE25,2018,0.03
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE15,2018,0.04
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_Y15-24,2018,0.18
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE25,2018,0.03
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2017,0.13
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_Y15-24,2017,0.4
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE25,2017,0.1
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE15,2017,0.11
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_Y15-24,2017,0.23
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE25,2017,0.1
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE15,2017,0.15
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_Y15-24,2017,0.62
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE25,2017,0.1
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2016,0.12
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_Y15-24,2016,0.39
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE25,2016,0.1
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE15,2016,0.1
