country,population,region,est_modern_slavery_per_1000_population,est_people_in_modern_slavery,governance_issues,lack_of_basic_needs,inequality,disenfranchised_groups,effects_of_conflict,total_vulnerability_score_percent,slavery_survivors_remain_out_of_slavery_percent,criminal_justice_prevents_modern_slavery_percent,government_coordination_and_response_accountability_percent,social_risks_address_modern_slavery_percent,government_and_businesses_dont_source_forced_labor_percent,total_government_response_percent
Oman,5107000,Arab States,6.500495535800399,33000,58.00437008482801,32.61935511156685,20.62059227499999,63.68522031823746,4.024210347948689,40.29191920598753,40.90909194946289,38.46154022216797,50,50,0,38.46154022216797
Pakistan,220892000,Asia and the Pacific,10.63333225250244,2349000,78.4060178065074,54.15855576766594,46.47101162258707,69.87417380660956,83.43755137401051,80.27600465070682,36.3636360168457,42.30769348144531,50,42.85714340209961,0,37.17948532104492
Palau,0,Asia and the Pacific,,,,,,,,,27.27272796630859,30.76922988891602,25,35.71428680419922,0,26.92307662963867
Panama,4315000,Americas,4.661962509155273,20000,36.3123464516982,30.85365738723419,50.36864641685383,50.66799265605875,8.141363550303,33.49507494641909,40.90909194946289,65.38461303710938,50,71.42857360839844,0,51.28205108642578
Papua New Guinea,8947000,Asia and the Pacific,10.34617519378662,93000,68.99575629842683,67.67918770805078,100,59.70930232558139,21.44276653796055,78.7456428859309,22.72727203369141,42.30769348144531,50,28.5714282989502,0,30.76922988891602
Paraguay,7133000,Americas,6.417139530181885,46000,46.05502954896637,37.55579613682274,59.1537956085083,63.07466340269278,18.99528132032574,47.48617217162468,40.90909194946289,69.23076629638672,62.5,42.85714340209961,0,48.71794891357422
Peru,32972000,Americas,7.098518371582031,234000,41.583464901757,40.63499817225202,53.44279364654133,63.11197470420236,30.17981678263814,46.95143374664541,59.09090805053711,65.38461303710938,62.5,57.14285659790039,0,55.12820434570313
Philippines,109581000,Asia and the Pacific,7.842455863952637,859000,55.31098496611362,53.45466786903503,58.25923521395671,60.17025703794371,70.34186334844078,66.35549546739269,59.09090805053711,73.07691955566406,75,50,12.5,58.97435760498047
Poland,37847000,Europe and Central Asia,5.510272026062012,209000,18.78461121754302,22.06011063413725,33.40290265166421,52.03523051815586,14.54368957670469,18.9866788321338,50,65.38461303710938,75,50,25,55.12820434570313
Portugal,10197000,Europe and Central Asia,3.813815355300903,39000,5.856385042966585,21.09869483317898,24.35986407790934,41.12947776417789,7.537320823566565,6.230505333450044,72.7272720336914,73.07691955566406,75,64.28571319580078,25,66.66666412353516
Qatar,2881000,Arab States,6.804503562827048,20000,47.62730079556453,40.82477367144701,11.39667526666667,69.60434516523867,13.16203857771561,38.43358816890134,59.09090805053711,42.30769348144531,62.5,64.28571319580078,0,48.71794891357422
Republic of the Congo,5518000,Africa,7.990757942199707,44000,80.95894110848019,52.38261233725834,62.5484842936198,76.95884332925337,32.76051232513499,76.79932769368234,40.90909194946289,26.92307662963867,37.5,21.4285717010498,0,28.20512771606445
Romania,19238000,Europe and Central Asia,7.549961566925049,145000,27.4630157715279,23.35076658984938,34.69735887802328,61.83500611995104,12.42006508822918,25.88511146501303,59.09090805053711,65.38461303710938,75,50,25,57.69230651855469
Russia,145934000,Europe and Central Asia,13.01579189300537,1899000,74.55939829258696,22.29341417468017,43.96044118999023,66.72378620971033,48.50126403104843,59.89323334347669,4.545454502105713,46.15384674072266,37.5,21.4285717010498,0,24.35897445678711
Rwanda,12952000,Africa,4.252303600311279,55000,39.76866707729899,61.26629875942429,39.34353840977376,78.19262545899633,31.26264463704702,52.93682500368358,54.54545593261719,61.53845977783203,37.5,57.14285659790039,0,50
Saint Lucia,184000,Americas,,,,,,,,,45.45454406738281,69.23076629638672,50,57.14285659790039,0,51.28205108642578
Saint Vincent and the Grenadines,111000,Americas,,,,,,,,,59.09090805053711,50,62.5,28.5714282989502,0,44.87179565429688
